league,season,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,player,weekly wage,yearly salary
ENG-Premier League,2425,West Ham,BRA,"MF,FW",25,2006,0.6,6,9.47,3,1,0,1,1,0,0,0.0,0,0,0,0,0,0,Luis Guilherme,,
ENG-Premier League,2425,West Ham,JAM,FW,25,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Michail Antonio,69000.0,3588000.0
ENG-Premier League,2425,West Ham,GHA,"MF,FW",25,2000,21.2,79,3.73,55,1,12,8,1,2,3,0.14,2,0,0,1,0,0,Mohammed Kudus,79000.0,4108000.0
ENG-Premier League,2425,West Ham,GER,FW,25,1993,4.1,11,2.67,10,0,0,1,0,0,1,0.24,0,0,0,1,0,0,Niclas Füllkrug,,
ENG-Premier League,2425,Wolves,POR,"MF,FW",25,2004,2.6,5,1.91,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Carlos Forbs,,
ENG-Premier League,2425,Wolves,POR,"MF,FW",25,1995,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Daniel Podence,,
ENG-Premier League,2425,Wolves,POR,"MF,FW",25,1996,8.3,22,2.65,20,0,1,0,1,0,8,0.96,7,0,1,0,0,0,Gonçalo Guedes,,
ENG-Premier League,2425,Wolves,KOR,"MF,FW",25,1996,7.1,9,1.27,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Hwang Hee-chan,,
ENG-Premier League,2425,Wolves,FRA,"MF,FW",25,1998,13.5,43,3.18,28,1,3,4,5,2,7,0.52,6,0,0,0,0,1,Jean-Ricner Bellegarde,45000.0,2340000.0
ENG-Premier League,2425,Wolves,NOR,FW,25,2000,22.0,31,1.41,25,1,0,2,2,1,3,0.14,3,0,0,0,0,0,Jørgen Strand Larsen,,
ENG-Premier League,2425,Wolves,ZIM,"FW,MF",25,1996,3.0,6,2.0,4,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Marshall Munetsi,,
ENG-Premier League,2425,Wolves,BRA,"MF,FW",25,1999,23.8,98,4.12,56,10,13,7,10,2,9,0.38,7,0,2,0,0,0,Matheus Cunha,79000.0,4108000.0
ENG-Premier League,2425,Wolves,ESP,"MF,FW",25,1992,6.0,17,2.82,12,4,1,0,0,0,2,0.33,1,0,1,0,0,0,Pablo Sarabia,110000.0,5720000.0
ENG-Premier League,2425,Wolves,POR,"DF,FW",25,2003,6.3,14,2.22,12,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Rodrigo Gomes,,
