league,season,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,player,weekly wage,yearly salary
ENG-Premier League,2425,Chelsea,ENG,DF,25,1997,12.1,14,10,10,4,0,8,12,66.7,4,7,6,1,9,23,52,0,Tosin Adarabioyo,47000.0,2444000.0
ENG-Premier League,2425,Chelsea,ENG,DF,25,1999,3.3,3,1,0,3,0,2,2,100.0,0,1,1,0,6,9,13,1,Trevoh Chalobah,77000.0,4004000.0
ENG-Premier League,2425,Chelsea,FRA,DF,25,2000,12.1,13,12,6,7,0,6,14,42.9,8,14,9,5,13,26,51,2,Wesley Fofana,230000.0,11960000.0
ENG-Premier League,2425,Crystal Palace,ENG,"DF,MF",25,1996,0.6,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,6,0,Ben Chilwell,190000.0,9880000.0
ENG-Premier League,2425,Crystal Palace,ENG,DF,25,2006,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,Caleb Kporha,,
ENG-Premier League,2425,Crystal Palace,MAR,DF,25,2003,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0,Chadi Riad,,
ENG-Premier League,2425,Crystal Palace,USA,DF,25,2000,14.9,38,25,17,16,5,21,34,61.8,13,26,9,17,9,47,83,0,Chris Richards,52000.0,2704000.0
ENG-Premier League,2425,Crystal Palace,COL,DF,25,1996,26.0,93,61,46,29,18,40,70,57.1,30,27,2,25,31,124,75,1,Daniel Muñoz,,
ENG-Premier League,2425,Crystal Palace,GHA,"MF,DF",25,1992,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0,Jeffrey Schlupp,60000.0,3120000.0
ENG-Premier League,2425,Crystal Palace,DEN,DF,25,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Joachim Andersen,75000.0,3900000.0
ENG-Premier League,2425,Crystal Palace,ENG,DF,25,2000,27.0,48,26,28,18,2,27,40,67.5,13,50,21,29,21,69,128,1,Marc Guéhi,44000.0,2288000.0
ENG-Premier League,2425,Crystal Palace,FRA,DF,25,2000,24.9,57,34,41,15,1,27,39,69.2,12,32,10,22,44,101,149,1,Maxence Lacroix,,
ENG-Premier League,2425,Crystal Palace,ENG,"DF,MF",25,1991,4.4,11,7,7,3,1,5,7,71.4,2,4,2,2,3,14,12,1,Nathaniel Clyne,29000.0,1508000.0
ENG-Premier League,2425,Crystal Palace,ENG,DF,25,1999,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3,Trevoh Chalobah,77000.0,4004000.0
ENG-Premier League,2425,Crystal Palace,ENG,DF,25,1999,26.7,74,48,48,21,5,20,37,54.1,17,53,9,44,11,85,79,2,Tyrick Mitchell,37000.0,1924000.0
ENG-Premier League,2425,Everton,ENG,"DF,FW",25,1985,17.3,48,27,22,19,7,29,47,61.7,18,9,3,6,22,70,56,1,Ashley Young,43000.0,2236000.0
ENG-Premier League,2425,Everton,IRL,DF,25,2001,8.5,15,9,14,1,0,9,12,75.0,3,7,2,5,3,18,56,0,Jake O'Brien,,
ENG-Premier League,2425,Everton,ENG,"MF,DF",25,2001,8.7,22,13,13,7,2,12,25,48.0,13,9,3,6,8,30,24,0,James Garner,45000.0,2340000.0
ENG-Premier League,2425,Everton,ENG,DF,25,1992,27.9,57,35,35,19,3,22,37,59.5,15,49,36,13,34,91,183,4,James Tarkowski,100000.0,5200000.0
ENG-Premier League,2425,Everton,ENG,DF,25,2002,19.1,30,17,23,7,0,16,20,80.0,4,23,17,6,23,53,132,3,Jarrad Branthwaite,40000.0,2080000.0
ENG-Premier League,2425,Everton,ENG,"FW,DF",25,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Mason Holgate,,
ENG-Premier League,2425,Everton,ENG,DF,25,1993,9.0,10,7,7,2,1,7,10,70.0,3,9,6,3,10,20,50,0,Michael Keane,74000.0,3848000.0
ENG-Premier League,2425,Everton,SCO,"DF,FW",25,2001,1.4,3,1,1,2,0,1,4,25.0,3,2,0,2,0,3,3,0,Nathan Patterson,39000.0,2028000.0
ENG-Premier League,2425,Everton,ENG,DF,25,2004,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0,Roman Dixon,,
ENG-Premier League,2425,Everton,IRL,DF,25,1988,2.2,2,1,1,1,0,2,3,66.7,1,5,3,2,1,3,7,0,Séamus Coleman,,
ENG-Premier League,2425,Everton,UKR,DF,25,1999,25.2,48,27,28,12,8,22,41,53.7,19,18,8,10,29,77,110,1,Vitaliy Mykolenko,72000.0,3744000.0
ENG-Premier League,2425,Fulham,USA,DF,25,1997,27.2,71,45,44,22,5,34,70,48.6,36,31,4,27,47,118,95,0,Antonee Robinson,53000.0,2756000.0
ENG-Premier League,2425,Fulham,NGA,DF,25,1999,26.2,39,24,23,16,0,17,24,70.8,7,33,16,17,15,54,81,5,Calvin Bassey,47000.0,2444000.0
ENG-Premier League,2425,Fulham,FRA,DF,25,1997,14.0,25,11,17,8,0,13,18,72.2,5,10,7,3,8,33,67,2,Issa Diop,66000.0,3432000.0
ENG-Premier League,2425,Fulham,DEN,DF,25,1996,18.7,19,15,15,3,1,12,18,66.7,6,16,11,5,25,44,103,0,Joachim Andersen,75000.0,3900000.0
ENG-Premier League,2425,Fulham,ESP,DF,25,1999,1.9,2,2,2,0,0,2,5,40.0,3,2,2,0,2,4,18,0,Jorge Cuenca,,
ENG-Premier League,2425,Fulham,NED,DF,25,1995,14.0,41,27,20,12,9,17,28,60.7,11,19,6,13,28,69,36,0,Kenny Tete,35000.0,1820000.0
ENG-Premier League,2425,Fulham,ENG,"DF,MF",25,2000,1.0,4,0,2,2,0,2,5,40.0,3,0,0,0,1,5,2,0,Ryan Sessegnon,58000.0,3016000.0
ENG-Premier League,2425,Fulham,BEL,DF,25,1995,13.9,35,21,19,14,2,19,30,63.3,11,11,3,8,16,51,62,0,Timothy Castagne,62000.0,3224000.0
ENG-Premier League,2425,Ipswich Town,COD,DF,25,1997,12.2,24,13,15,3,6,13,20,65.0,7,10,5,5,17,41,35,0,Axel Tuanzebe,,
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,1998,1.2,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0,Ben Godfrey,68000.0,3536000.0
ENG-Premier League,2425,Ipswich Town,ENG,"DF,FW",25,2000,10.6,29,18,18,8,3,16,34,47.1,18,13,4,9,12,41,33,0,Ben Johnson,33000.0,1716000.0
ENG-Premier League,2425,Ipswich Town,AUS,DF,25,1995,10.0,9,7,7,2,0,5,5,100.0,0,14,11,3,9,18,67,1,Cameron Burgess,,
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,1993,1.5,7,5,6,1,0,5,7,71.4,2,4,3,1,3,10,7,0,Conor Townsend,,
ENG-Premier League,2425,Ipswich Town,IRL,DF,25,1999,24.7,37,23,23,11,3,15,24,62.5,9,44,35,9,27,64,145,4,Dara O'Shea,37000.0,1924000.0
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,George Edmundson,,
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,2001,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3,Harry Clarke,,
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,2000,18.0,27,13,11,15,1,14,22,63.6,8,27,19,8,17,44,101,2,Jacob Greaves,,
ENG-Premier League,2425,Ipswich Town,ENG,"FW,DF",25,2002,4.2,13,7,6,5,2,8,15,53.3,7,7,1,6,9,22,8,1,Jaden Philogene Bidace,,
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,2000,26.3,45,26,32,9,4,29,46,63.0,17,22,7,15,23,68,67,2,Leif Davis,,
ENG-Premier League,2425,Ipswich Town,ENG,DF,25,1998,10.2,7,4,4,3,0,2,5,40.0,3,17,11,6,17,24,58,0,Luke Woolfenden,,
ENG-Premier League,2425,Ipswich Town,WAL,"FW,DF",25,1994,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2,Wes Burns,,
ENG-Premier League,2425,Leicester City,ITA,DF,25,2001,11.1,24,13,8,14,2,10,17,58.8,7,22,12,10,14,38,72,2,Caleb Okoli,,
ENG-Premier League,2425,Leicester City,ENG,DF,25,1993,9.0,9,6,4,4,1,2,3,66.7,1,18,13,5,7,16,37,1,Conor Coady,,
ENG-Premier League,2425,Leicester City,ENG,"MF,DF",25,1997,1.5,1,1,1,0,0,1,3,33.3,2,4,2,2,5,6,2,0,Hamza Choudhury,,
ENG-Premier League,2425,Leicester City,ENG,DF,25,1998,24.4,44,27,24,16,4,25,44,56.8,19,33,9,24,34,78,107,2,James Justin,,
ENG-Premier League,2425,Leicester City,DEN,DF,25,1992,15.5,22,10,16,6,0,9,15,60.0,6,21,14,7,16,38,74,1,Jannik Vestergaard,,
ENG-Premier League,2425,Leicester City,ENG,DF,25,2001,3.0,10,8,9,0,1,8,11,72.7,3,6,3,3,3,13,11,1,Luke Thomas,20000.0,1040000.0
ENG-Premier League,2425,Leicester City,POR,DF,25,1993,1.7,3,2,0,1,2,1,4,25.0,3,3,1,2,1,4,3,0,Ricardo Pereira,,
ENG-Premier League,2425,Leicester City,DEN,DF,25,2002,24.4,79,45,52,23,4,42,77,54.5,35,32,13,19,37,116,70,3,Victor Bernth Kristiansen,,
ENG-Premier League,2425,Leicester City,BEL,DF,25,1998,22.3,31,20,19,10,2,15,33,45.5,18,39,27,12,19,50,132,3,Wout Faes,,
ENG-Premier League,2425,Leicester City,FRA,DF,25,1999,1.2,6,4,4,2,0,2,2,100.0,0,3,1,2,5,11,1,0,Woyo Coulibaly,,
ENG-Premier League,2425,Liverpool,SCO,DF,25,1994,22.4,34,21,22,9,3,27,43,62.8,16,9,4,5,19,53,43,1,Andrew Robertson,160000.0,8320000.0
ENG-Premier League,2425,Liverpool,NIR,DF,25,2003,4.1,6,3,3,2,1,5,12,41.7,7,2,0,2,3,9,16,0,Conor Bradley,4400.0,228800.0
ENG-Premier League,2425,Liverpool,FRA,DF,25,1999,21.0,31,21,23,7,1,21,30,70.0,9,23,12,11,10,41,96,1,Ibrahima Konaté,71000.0,3692000.0
ENG-Premier League,2425,Liverpool,ENG,DF,25,2003,3.2,9,7,7,2,0,4,5,80.0,1,4,4,0,5,14,13,0,Jarell Quansah,3100.0,161200.0
ENG-Premier League,2425,Liverpool,ENG,DF,25,1997,5.8,13,10,5,7,1,11,16,68.8,5,9,6,3,7,20,20,2,Joe Gomez,95000.0,4940000.0
