league,season,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,player,weekly wage,yearly salary
ENG-Premier League,2425,Tottenham,ESP,DF,25,1996,1.4,4,3,1,3,0,2,3,66.7,1,4,0,4,2,6,3,0,Sergio Reguilón,78000.0,4056000.0
ENG-Premier League,2425,West Ham,ENG,DF,25,1989,6.0,5,1,1,3,1,4,5,80.0,1,6,3,3,6,11,26,0,Aaron Cresswell,53000.0,2756000.0
ENG-Premier League,2425,West Ham,ENG,DF,25,1997,26.0,50,35,24,22,4,14,20,70.0,6,27,8,19,46,96,90,0,Aaron Wan-Bissaka,100000.0,5200000.0
ENG-Premier League,2425,West Ham,ITA,DF,25,1994,18.9,49,26,31,15,3,20,35,57.1,15,26,6,20,18,67,45,0,Emerson Palmieri,,
ENG-Premier League,2425,West Ham,FRA,DF,25,1999,11.7,24,16,19,5,0,15,18,83.3,3,18,9,9,14,38,56,3,Jean-Clair Todibo,,
ENG-Premier League,2425,West Ham,ENG,DF,25,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Kaelan Casey,,
ENG-Premier League,2425,West Ham,GRE,DF,25,1997,17.5,30,21,20,9,1,13,24,54.2,11,19,14,5,33,63,92,1,Konstantinos Mavropanos,80000.0,4160000.0
ENG-Premier League,2425,West Ham,ENG,DF,25,1997,27.2,22,11,9,10,3,15,19,78.9,4,47,31,16,31,53,144,4,Max Kilman,49000.0,2548000.0
ENG-Premier League,2425,West Ham,ENG,DF,25,2005,4.5,14,10,10,3,1,10,14,71.4,4,11,2,9,8,22,14,0,Oliver Scarles,,
ENG-Premier League,2425,West Ham,CZE,DF,25,1992,8.2,14,9,9,4,1,6,15,40.0,9,11,10,1,6,20,29,1,Vladimír Coufal,52000.0,2704000.0
ENG-Premier League,2425,Wolves,ENG,DF,25,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Alfie Pond,,
ENG-Premier League,2425,Wolves,ENG,DF,25,1990,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1,Craig Dawson,67000.0,3484000.0
ENG-Premier League,2425,Wolves,CIV,DF,25,1997,5.7,14,9,10,4,0,7,11,63.6,4,6,4,2,7,21,34,0,Emmanuel Agbadou,,
